127.0.0.1 - - [14/Aug/2024:12:19:36 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [14/Aug/2024:12:19:37 +0900] "GET /CSS3/practice/practice05.html HTTP/1.1" 200 5082
0:0:0:0:0:0:0:1 - - [14/Aug/2024:12:19:38 +0900] "GET /CSS3/image/why.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Aug/2024:12:19:38 +0900] "GET /CSS3/image/box.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Aug/2024:12:19:38 +0900] "GET /CSS3/image/%EC%88%98%EB%B0%95.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Aug/2024:12:19:38 +0900] "GET /CSS3/image/%EC%83%81%ED%92%88%EC%A0%95%EB%B3%B4.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Aug/2024:12:19:38 +0900] "GET /CSS3/image/point.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Aug/2024:12:19:38 +0900] "GET /CSS3/image/%ED%8C%90%EB%A7%A4%EC%9E%90%EC%A0%95%EB%B3%B4.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Aug/2024:12:19:38 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [14/Aug/2024:12:20:19 +0900] "GET /CSS3/practice/practice05.html HTTP/1.1" 200 5084
0:0:0:0:0:0:0:1 - - [14/Aug/2024:12:20:19 +0900] "GET /CSS3/practice/practice05.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Aug/2024:12:20:20 +0900] "GET /CSS3/practice/practice05.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Aug/2024:12:21:59 +0900] "GET /CSS3/practice/practice05.html HTTP/1.1" 200 5061
0:0:0:0:0:0:0:1 - - [14/Aug/2024:12:21:59 +0900] "GET /CSS3/practice/practice05.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Aug/2024:12:21:59 +0900] "GET /CSS3/practice/practice05.html HTTP/1.1" 304 -
